fecha,ccl
2015-04-17,12.1400
2015-04-18,12.1400
2015-04-19,12.1400
2015-04-20,12.1100
2015-04-21,11.9800
2015-04-22,11.6900
2015-04-23,11.8800
2015-04-24,11.9500
2015-04-25,11.9500
2015-04-26,11.9500
2015-04-27,11.9700
2015-04-28,11.8000
2015-04-29,11.7800
2015-04-30,11.9400
2015-05-01,11.9400
2015-05-02,11.9400
2015-05-03,11.9400
2015-05-04,11.9300
2015-05-05,11.8800
2015-05-06,11.7700
2015-05-07,11.9000
2015-05-08,11.9200
2015-05-09,11.9200
2015-05-10,11.9200
2015-05-11,12.0100
2015-05-12,11.9600
2015-05-13,11.9600
2015-05-14,11.9700
2015-05-15,11.9400
2015-05-16,11.9400
2015-05-17,11.9400
2015-05-18,12.0500
2015-05-19,11.9900
2015-05-20,11.8300
2015-05-21,11.8300
2015-05-22,11.8000
2015-05-23,11.8000
2015-05-24,11.8000
2015-05-25,11.8000
2015-05-26,11.8400
2015-05-27,11.7000
2015-05-28,11.6900
2015-05-29,11.7100
2015-05-30,11.7100
2015-05-31,11.7100
2015-06-01,11.6800
2015-06-02,11.6600
2015-06-03,11.7200
2015-06-04,11.6700
2015-06-05,11.6100
2015-06-06,11.6100
2015-06-07,11.6100
2015-06-08,11.6500
2015-06-09,11.6400
2015-06-10,11.7500
2015-06-11,11.7000
2015-06-12,11.7400
2015-06-13,11.7400
2015-06-14,11.7400
2015-06-15,11.9600
2015-06-16,11.8600
2015-06-17,12.0700
2015-06-18,12.2000
2015-06-19,12.4300
2015-06-20,12.4300
2015-06-21,12.4300
2015-06-22,12.3700
2015-06-23,12.4700
2015-06-24,12.3600
2015-06-25,12.4800
2015-06-26,12.6800
2015-06-27,12.6800
2015-06-28,12.6800
2015-06-29,12.8600
2015-06-30,12.8700
2015-07-01,13.1400
2015-07-02,13.3800
2015-07-03,13.3800
2015-07-04,13.3800
2015-07-05,13.3800
2015-07-06,13.1900
2015-07-07,13.2600
2015-07-08,13.2800
2015-07-09,13.2800
2015-07-10,13.3500
2015-07-11,13.3500
2015-07-12,13.3500
2015-07-13,13.3400
2015-07-14,13.2700
2015-07-15,13.3500
2015-07-16,13.2900
2015-07-17,13.2600
2015-07-18,13.2600
2015-07-19,13.2600
2015-07-20,13.3400
2015-07-21,13.7200
2015-07-22,13.5800
2015-07-23,13.3300
2015-07-24,13.3400
2015-07-25,13.3400
2015-07-26,13.3400
2015-07-27,13.1400
2015-07-28,13.1400
2015-07-29,13.2500
2015-07-30,13.2400
2015-07-31,13.2800
2015-08-01,13.2800
2015-08-02,13.2800
2015-08-03,13.3100
2015-08-04,13.4500
2015-08-05,13.4000
2015-08-06,13.3400
2015-08-07,13.3300
2015-08-08,13.3300
2015-08-09,13.3300
2015-08-10,13.3700
2015-08-11,13.3500
2015-08-12,13.4100
2015-08-13,13.4300
2015-08-14,13.4300
2015-08-15,13.4300
2015-08-16,13.4300
2015-08-17,13.4300
2015-08-18,13.4400
2015-08-19,13.4300
2015-08-20,13.4200
2015-08-21,13.4600
2015-08-22,13.4600
2015-08-23,13.4600
2015-08-24,13.5200
2015-08-25,13.5100
2015-08-26,13.8000
2015-08-27,13.7400
2015-08-28,13.9800
2015-08-29,13.9800
2015-08-30,13.9800
2015-08-31,13.8900
2015-09-01,13.9100
2015-09-02,13.9700
2015-09-03,14.0800
